Index,HeartsNeeded,RawText
1,1,<P1>This element is for the tutorial of the first heart. It should not appear.
2,40,"<P1>Hey! Just wanted to let you know I got home safe.<P2>Thanks for letting me know!<P2>And thanks for dropping by, it was really nice seeing you.<P1>Same here, let's do it again sometime.<P2>Sounds good! :)"
3,90,"<P2>A few of us were thinking about going to the movies on Friday.<P2>You should join us!<P1>That sounds amazing.<P1>When and where?<P2>We are still figuring that out, but we'll let you know!"
4,130,<P1>I know we haven't talked in a while...<P1>But I wanted to check in and see how you are doing.<P1>Hope you are doing alright!
5,200,"<P1>Uhm, excuse me?<P1>Hi sorry, just wanted to let you know your backpack is open.<P2>Oh!! Thanks, yeah that should definitely be closed.<P1>No problem, have a good one!"
6,200,"<P1>How much do you think this top is?<P2>I don't know, like $20?<P1>More...<P2>Can't be more than $60.<P1>It's $75.<P2>Daaaang that's crazy!<P2>But you like it?<P1>It is cute...<P2>I'll get it for you!<P1>No no it's ok! <P2>No, it makes me happy to get it for you!"
7,300,<P1>Hey Mom!<P1>Just wanted to wish you a happy Mother's Day!<P1>Hope you and Dad are having a nice day!
8,320,"<P2>Hey, I just heard the news...<P2>I'm so sorry for your loss.<P2>I'm still at work right now, but I'll be done in 15.<P2>I'll call you then.<P1>Thanks man, I appreciate it."
9,400,<P1>Was baking some chocolate chip cookies tonight...<P1>And I made way more than I need!<P1>I'll drop by tomorrow after work.<P2>Oh wow thank you!<P2>I was actually really craving something sweet!
10,420,"<P2>Hi honey!<P2>I'm making dinner.<P2>Will bring some over for you as well.<P1>Thanks, see you soon! :)"
11,600,"<P1>Hey Dad!<P1>Happy Birthday, thinking of you :)"
12,690,"<P1>Saw there was like a 20gb Fortnite update.<P1>Guess they started a new season.<P1>I turned on your computer and updated it for you as well!<P2>Yay, thank you! Let's see if anyone else wants to play tonight :) "
13,800,"<P1>Heard you just got back in town.<P2>That's right, landed back in yesterday :)<P1>Nice! We should meet up soon then!<P1>I wanna hear all about your trip.<P2>Yessss that sounds nice! I am free tomorrow!"
